START,ELAPSED_MINUTES,FASE,FILTERED_TEMP,T_INI,T_FIN,VELOCITA,SOSTA_MIN
1,78,4,1274,1200,1300,5,0
1,79,4,1285,1200,1300,5,0
1,79,4,1274,1200,1300,5,0
1,79,4,1290,1200,1300,5,0
1,80,4,1277,1200,1300,5,0
1,80,4,1290,1200,1300,5,0
1,80,4,1277,1200,1300,5,0
1,81,4,1286,1200,1300,5,0
1,81,4,1291,1200,1300,5,0
1,81,4,1285,1200,1300,5,0
1,82,4,1300,1200,1300,5,0
1,82,5,1296,1300,1400,4,0
1,82,5,1299,1300,1400,4,0
1,83,5,1304,1300,1400,4,0
1,83,5,1301,1300,1400,4,0
1,83,5,1306,1300,1400,4,0
1,84,5,1301,1300,1400,4,0
1,84,5,1303,1300,1400,4,0
1,84,5,1307,1300,1400,4,0
1,85,5,1317,1300,1400,4,0
1,85,5,1312,1300,1400,4,0
1,85,5,1308,1300,1400,4,0
1,86,5,1311,1300,1400,4,0
1,86,5,1316,1300,1400,4,0
1,86,5,1313,1300,1400,4,0
1,86,5,1323,1300,1400,4,0
1,87,5,1310,1300,1400,4,0
1,87,5,1322,1300,1400,4,0
1,87,5,1316,1300,1400,4,0
1,88,5,1327,1300,1400,4,0
1,88,5,1318,1300,1400,4,0
1,89,5,1331,1300,1400,4,0
1,89,5,1323,1300,1400,4,0
1,89,5,1332,1300,1400,4,0
1,89,5,1331,1300,1400,4,0
1,90,5,1330,1300,1400,4,0
1,90,5,1330,1300,1400,4,0
1,90,5,1326,1300,1400,4,0
1,91,5,1337,1300,1400,4,0
1,91,5,1332,1300,1400,4,0
1,91,5,1335,1300,1400,4,0
1,92,5,1334,1300,1400,4,0
1,92,5,1339,1300,1400,4,0
1,92,5,1340,1300,1400,4,0
1,93,5,1347,1300,1400,4,0
1,93,5,1333,1300,1400,4,0
1,93,5,1345,1300,1400,4,0
1,94,5,1340,1300,1400,4,0
1,94,5,1347,1300,1400,4,0
1,94,5,1348,1300,1400,4,0
1,95,5,1353,1300,1400,4,0
1,95,5,1353,1300,1400,4,0
1,95,5,1348,1300,1400,4,0
1,96,5,1358,1300,1400,4,0
1,96,5,1350,1300,1400,4,0
1,96,5,1360,1300,1400,4,0
1,97,5,1352,1300,1400,4,0
1,97,5,1364,1300,1400,4,0
1,97,5,1355,1300,1400,4,0
1,98,5,1365,1300,1400,4,0
1,98,5,1354,1300,1400,4,0
1,98,5,1365,1300,1400,4,0
1,98,5,1372,1300,1400,4,0
1,99,5,1358,1300,1400,4,0
1,99,5,1373,1300,1400,4,0
1,99,5,1360,1300,1400,4,0
1,100,5,1371,1300,1400,4,0
1,100,5,1370,1300,1400,4,0
1,100,5,1369,1300,1400,4,0
1,101,5,1376,1300,1400,4,0
1,101,5,1372,1300,1400,4,0
1,101,5,1378,1300,1400,4,0
1,102,5,1386,1300,1400,4,0
1,102,5,1372,1300,1400,4,0
1,102,5,1384,1300,1400,4,0
1,103,5,1389,1300,1400,4,0
1,103,5,1374,1300,1400,4,0
1,103,5,1386,1300,1400,4,0
1,104,5,1383,1300,1400,4,0
1,104,5,1385,1300,1400,4,0
1,104,5,1392,1300,1400,4,0
1,105,5,1389,1300,1400,4,0
1,105,5,1388,1300,1400,4,0
1,105,5,1396,1300,1400,4,0
1,106,5,1390,1300,1400,4,0
1,106,5,1402,1300,1400,4,0
1,106,6,1402,1400,1500,4,50
1,107,6,1398,1400,1500,4,50
1,107,6,1407,1400,1500,4,50
1,107,6,1399,1400,1500,4,50
1,108,6,1400,1400,1500,4,50
